"Timestamp","  What is your gender?  ","  What is your highest educational qualification?  ","How many years of total work experience do you have?","  What best describes your current role?  ","  How many people work in your organization approximately?  ","  On average, how many hours do you work per week?  ","  How many formal training or professional development sessions did you attend in the last 12 months?  ","  How would you rate your overall job satisfaction?  ","  How would you rate your work-life balance?  ","  How would you rate your own job performance over the last 12 months?  ","  How supported do you feel by your direct supervisor or manager?  ","  How fairly do you feel you are compensated relative to your workload?  ","  Are you currently considering leaving your organization within the next 12 months?  ","  What is the PRIMARY reason you would consider leaving?   ","  Would you recommend your organization as a good place to work?  ","  How many years have you worked at your current organization?  "
"2026/05/05 3:43:23 PM GMT+1","Male","Bachelor's degree","2–5 years","Other","21–50","41–50","1–2","7","6","8","7","6","Unsure","Better opportunity elsewhere","Definitely yes","4–7 years"
"2026/05/05 3:47:02 PM GMT+1","Male","Bachelor's degree","6–10 years","Other","51–100","51–60","3–5","4","4","8","4","4","Yes, but not actively looking","Compensation/salary","Not sure","4–7 years"
"2026/05/05 3:59:33 PM GMT+1","Female","Bachelor's degree","2–5 years","Management/leadership","21–50","Less than 35","1–2","8","7","8","8","8","Unsure","Poor work-life balance","Not sure","Less than 1 year"
"2026/05/05 4:05:19 PM GMT+1","Male","Bachelor's degree","Less than 2 years","IT/technology","1–20","More than 60","1–2","8","6","8","10","10","No, I intend to stay","Better opportunity elsewhere","Definitely yes","Less than 1 year"
"2026/05/05 4:08:24 PM GMT+1","Female","OND/HND","2–5 years","Administrative/support staff","51–100","35–40","3–5","4","5","7","3","2","Yes, actively looking","Lack of career growth","Not sure","1–3 years"
"2026/05/05 4:53:25 PM GMT+1","Male","Bachelor's degree","Less than 2 years","Other","1–20","41–50","1–2","6","4","5","10","10","Yes, but not actively looking","Better opportunity elsewhere","Definitely yes","Less than 1 year"
"2026/05/05 7:19:01 PM GMT+1","Male","Bachelor's degree","Less than 2 years","Other","1–20","Less than 35","1–2","4","3","2","3","1","No, I intend to stay","Compensation/salary","Probably yes","Less than 1 year"
"2026/05/05 7:46:37 PM GMT+1","Female","OND/HND","2–5 years","Administrative/support staff","1–20","Less than 35","1–2","7","5","8","6","4","Yes, but not actively looking","Compensation/salary","Probably yes","1–3 years"
"2026/05/05 8:12:17 PM GMT+1","Male","Bachelor's degree","6–10 years","Other","101–250","41–50","1–2","5","3","6","3","2","Yes, actively looking","Lack of career growth","Probably yes","4–7 years"
"2026/05/05 8:47:10 PM GMT+1","Female","Master's degree","6–10 years","Finance/accounts","More than 250","41–50","3–5","8","5","10","1","7","Yes, but not actively looking","Better opportunity elsewhere","Probably yes","4–7 years"
"2026/05/05 8:52:17 PM GMT+1","Female","Master's degree","6–10 years","Administrative/support staff","21–50","35–40","1–2","8","6","5","5","6","Yes, actively looking","Better opportunity elsewhere","Definitely yes","1–3 years"
"2026/05/05 9:09:10 PM GMT+1","Male","Bachelor's degree","6–10 years","Management/leadership","More than 250","41–50","1–2","6","7","8","7","3","Yes, actively looking","Poor work-life balance","Not sure","1–3 years"
"2026/05/05 9:15:46 PM GMT+1","Male","Master's degree","More than 15 years","Legal/professional (lawyer, consultant, advisor)","1–20","51–60","1–2","10","10","10","10","10","No, I intend to stay","I am not considering leaving","Definitely yes","More than 12 years"
"2026/05/06 9:59:20 AM GMT+1","Female","Bachelor's degree","Less than 2 years","Other","1–20","More than 60","None","4","4","5","5","5","Unsure","Poor work-life balance","Probably yes","Less than 1 year"
"2026/05/06 10:42:11 AM GMT+1","Female","Professional certification only (e.g. BL, ACCA, ICAN)","2–5 years","Finance/accounts","51–100","41–50","3–5","8","8","8","6","7","No, I intend to stay","I am not considering leaving","Definitely yes","4–7 years"
"2026/05/06 11:17:00 AM GMT+1","Female","Master's degree","More than 15 years","Management/leadership","51–100","41–50","3–5","4","7","7","7","7","Unsure","I am not considering leaving","Not sure","4–7 years"
"2026/05/06 11:20:46 AM GMT+1","Male","Postgraduate diploma","6–10 years","Administrative/support staff","21–50","35–40","1–2","6","5","6","6","8","Unsure","Compensation/salary","Probably yes","1–3 years"
"2026/05/06 11:22:03 AM GMT+1","Prefer not to say","OND/HND","2–5 years","Finance/accounts","1–20","41–50","None","10","5","5","2","1","Yes, but not actively looking","Compensation/salary","Probably not","4–7 years"
"2026/05/06 11:23:40 AM GMT+1","Male","Bachelor's degree","11–15 years","Legal/professional (lawyer, consultant, advisor)","1–20","41–50","3–5","8","3","8","8","3","No, I intend to stay","Lack of career growth","Probably yes","4–7 years"
"2026/05/06 11:24:45 AM GMT+1","Female","Master's degree","11–15 years","Finance/accounts","51–100","51–60","3–5","9","6","7","8","8","No, I intend to stay","Relationship with management","Definitely yes","4–7 years"
"2026/05/06 11:25:53 AM GMT+1","Female","Professional certification only (e.g. BL, ACCA, ICAN)","More than 15 years","Finance/accounts","101–250","51–60","6–10","9","7","8","9","8","No, I intend to stay","I am not considering leaving","Definitely yes","More than 12 years"
"2026/05/06 11:27:15 AM GMT+1","Male","Professional certification only (e.g. BL, ACCA, ICAN)","6–10 years","Finance/accounts","21–50","41–50","3–5","9","9","9","3","3","Yes, but not actively looking","Better opportunity elsewhere","Probably yes","1–3 years"
"2026/05/06 11:28:21 AM GMT+1","Male","Bachelor's degree","2–5 years","IT/technology","1–20","41–50","None","3","5","4","6","1","Yes, actively looking","Compensation/salary","Definitely not","1–3 years"
"2026/05/06 11:45:31 AM GMT+1","Prefer not to say","OND/HND","6–10 years","Administrative/support staff","51–100","35–40","None","2","6","3","1","6","Yes, actively looking","Compensation/salary","Definitely not","1–3 years"
"2026/05/06 12:22:39 PM GMT+1","Male","Bachelor's degree","6–10 years","IT/technology","More than 250","35–40","3–5","4","4","6","6","8","Yes, but not actively looking","Better opportunity elsewhere","Probably yes","1–3 years"
"2026/05/06 6:47:45 PM GMT+1","Male","OND/HND","6–10 years","Administrative/support staff","51–100","51–60","None","3","5","4","4","6","Yes, but not actively looking","Lack of career growth","Not sure",""
"2026/05/06 6:48:44 PM GMT+1","Female","Bachelor's degree","6–10 years","Management/leadership","101–250","51–60","3–5","6","7","8","4","5","Yes, but not actively looking","Relationship with management","Not sure","4–7 years"
"2026/05/06 6:50:58 PM GMT+1","Female","Professional certification only (e.g. BL, ACCA, ICAN)","6–10 years","Management/leadership","101–250","More than 60","6–10","9","9","8","8","9","Unsure","I am not considering leaving","Definitely yes","4–7 years"
"2026/05/06 6:51:44 PM GMT+1","Male","Master's degree","6–10 years","Finance/accounts","21–50","41–50","1–2","6","9","8","4","6","Yes, but not actively looking","Better opportunity elsewhere","Probably yes","8–12 years"
"2026/05/06 6:53:33 PM GMT+1","Female","Professional certification only (e.g. BL, ACCA, ICAN)","11–15 years","Legal/professional (lawyer, consultant, advisor)","More than 250","51–60","1–2","4","5","6","6","6","Yes, but not actively looking","Relationship with management","Probably not","Less than 1 year"
"2026/05/06 7:52:41 PM GMT+1","Prefer not to say","Master's degree","6–10 years","Management/leadership","51–100","51–60","3–5","8","5","9","8","8","No, I intend to stay","Better opportunity elsewhere","Definitely yes","4–7 years"
"2026/05/06 11:28:06 PM GMT+1","Male","PhD","More than 15 years","Legal/professional (lawyer, consultant, advisor)","101–250","More than 60","6–10","10","9","9","10","10","No, I intend to stay","I am not considering leaving","Definitely yes","More than 12 years"
"2026/05/06 11:29:06 PM GMT+1","Female","Postgraduate diploma","2–5 years","IT/technology","21–50","41–50","None","5","7","4","7","5","Yes, but not actively looking","Better opportunity elsewhere","Not sure","1–3 years"
"2026/05/06 11:30:14 PM GMT+1","Male","Bachelor's degree","6–10 years","Finance/accounts","21–50","51–60","1–2","7","6","8","8","7","Unsure","Poor work-life balance","Probably yes","4–7 years"
"2026/05/06 11:31:18 PM GMT+1","Female","Professional certification only (e.g. BL, ACCA, ICAN)","6–10 years","Finance/accounts","101–250","51–60","3–5","7","3","6","7","6","Yes, but not actively looking","Better opportunity elsewhere","Probably yes","1–3 years"
"2026/05/06 11:32:25 PM GMT+1","Male","Master's degree","6–10 years","Other","51–100","41–50","None","7","5","6","7","6","No, I intend to stay","I am not considering leaving","Definitely yes","Less than 1 year"
"2026/05/06 11:33:43 PM GMT+1","Female","Master's degree","2–5 years","IT/technology","1–20","41–50","None","4","4","7","2","4","Yes, actively looking","Relationship with management","Probably not","1–3 years"
"2026/05/06 11:35:08 PM GMT+1","Female","OND/HND","6–10 years","IT/technology","More than 250","More than 60","1–2","5","5","6","6","6","Unsure","I am not considering leaving","Not sure","4–7 years"
"2026/05/07 7:45:15 AM GMT+1","Female","Postgraduate diploma","6–10 years","Administrative/support staff","51–100","35–40","None","3","6","6","8","8","Yes, but not actively looking","Lack of career growth","Probably not","4–7 years"
"2026/05/07 7:46:37 AM GMT+1","Female","OND/HND","2–5 years","IT/technology","1–20","35–40","1–2","8","4","7","6","7","No, I intend to stay","I am not considering leaving","Probably yes","1–3 years"
"2026/05/07 7:47:40 AM GMT+1","Male","Professional certification only (e.g. BL, ACCA, ICAN)","11–15 years","Legal/professional (lawyer, consultant, advisor)","101–250","More than 60","3–5","8","8","8","9","10","No, I intend to stay","I am not considering leaving","Definitely yes","4–7 years"
"2026/05/07 7:48:55 AM GMT+1","Female","Master's degree","6–10 years","Management/leadership","1–20","41–50","None","3","3","3","4","3","Yes, actively looking","Compensation/salary","Not sure","Less than 1 year"
"2026/05/07 8:06:51 AM GMT+1","Female","Bachelor's degree","6–10 years","Administrative/support staff","21–50","51–60","1–2","5","5","7","4","4","Yes, actively looking","Compensation/salary","Not sure","1–3 years"
"2026/05/07 8:26:25 AM GMT+1","Female","Master's degree","6–10 years","Administrative/support staff","1–20","35–40","1–2","6","10","6","10","6","Yes, actively looking","Better opportunity elsewhere","Definitely yes","1–3 years"
"2026/05/07 8:27:27 AM GMT+1","Prefer not to say","Bachelor's degree","Less than 2 years","Legal/professional (lawyer, consultant, advisor)","21–50","41–50","None","5","4","7","7","7","No, I intend to stay","I am not considering leaving","Probably yes","1–3 years"
"2026/05/07 8:28:27 AM GMT+1","Male","Bachelor's degree","2–5 years","Finance/accounts","21–50","35–40","1–2","5","6","9","8","8","No, I intend to stay","I am not considering leaving","Definitely yes","1–3 years"
"2026/05/07 9:13:21 AM GMT+1","Female","Postgraduate diploma","2–5 years","Finance/accounts","21–50","41–50","None","4","5","6","4","5","Yes, actively looking","Poor work-life balance","Definitely not","1–3 years"
"2026/05/07 9:15:10 AM GMT+1","Prefer not to say","OND/HND","6–10 years","Administrative/support staff","21–50","Less than 35","None","3","6","3","2","2","Yes, but not actively looking","Better opportunity elsewhere","Definitely not","4–7 years"
"2026/05/07 9:20:00 AM GMT+1","Male","Bachelor's degree","6–10 years","IT/technology","1–20","41–50","None","5","5","7","7","5","Yes, but not actively looking","Lack of career growth","Probably yes","1–3 years"
"2026/05/07 9:21:47 AM GMT+1","Female","Postgraduate diploma","11–15 years","Administrative/support staff","21–50","41–50","3–5","5","6","6","6","4","Yes, but not actively looking","Poor work-life balance","Not sure","1–3 years"
"2026/05/07 10:27:45 AM GMT+1","Male","Bachelor's degree","6–10 years","Finance/accounts","51–100","41–50","3–5","6","6","9","7","6","No, I intend to stay","Lack of career growth","Probably yes","4–7 years"
"2026/05/07 10:31:15 AM GMT+1","Prefer not to say","Master's degree","2–5 years","Finance/accounts","51–100","41–50","3–5","8","7","9","7","6","No, I intend to stay","Better opportunity elsewhere","Probably yes","1–3 years"
"2026/05/07 10:36:32 AM GMT+1","Male","Postgraduate diploma","6–10 years","Other","51–100","41–50","3–5","6","6","7","6","5","Yes, actively looking","Compensation/salary","Probably yes","1–3 years"
"2026/05/07 10:40:37 AM GMT+1","Female","Master's degree","","Finance/accounts","101–250","51–60","6–10","8","7","6","6","7","Yes, actively looking","Lack of career growth","Not sure","1–3 years"
"2026/05/07 10:41:45 AM GMT+1","Male","Postgraduate diploma","2–5 years","Legal/professional (lawyer, consultant, advisor)","21–50","41–50","3–5","7","9","9","9","9","No, I intend to stay","I am not considering leaving","Definitely yes","1–3 years"
"2026/05/07 10:42:33 AM GMT+1","Female","Master's degree","More than 15 years","Management/leadership","51–100","More than 60","6–10","9","7","8","10","8","Unsure","Better opportunity elsewhere","Definitely yes","4–7 years"
"2026/05/07 10:43:40 AM GMT+1","Female","PhD","11–15 years","Administrative/support staff","More than 250","51–60","6–10","10","10","10","10","9","No, I intend to stay","I am not considering leaving","Definitely yes","1–3 years"
"2026/05/07 10:44:27 AM GMT+1","Male","PhD","More than 15 years","Other","More than 250","More than 60","More than 10","10","10","10","10","10","No, I intend to stay","I am not considering leaving","Definitely yes","4–7 years"
"2026/05/07 10:44:39 AM GMT+1","Prefer not to say","Master's degree","11–15 years","Management/leadership","101–250","51–60","3–5","9","8","10","9","8","No, I intend to stay","I am not considering leaving","Definitely yes","4–7 years"
"2026/05/07 10:45:47 AM GMT+1","Female","Master's degree","11–15 years","Finance/accounts","101–250","41–50","6–10","9","7","7","7","7","Yes, but not actively looking","Relationship with management","Not sure","4–7 years"
"2026/05/07 10:46:44 AM GMT+1","Female","Postgraduate diploma","6–10 years","Finance/accounts","101–250","More than 60","6–10","7","6","9","7","6","Yes, but not actively looking","Poor work-life balance","Probably not","1–3 years"
"2026/05/07 10:47:38 AM GMT+1","Male","Postgraduate diploma","Less than 2 years","Finance/accounts","1–20","35–40","1–2","7","8","8","9","8","No, I intend to stay","I am not considering leaving","Probably yes","8–12 years"
"2026/05/07 10:48:15 AM GMT+1","Female","PhD","11–15 years","Finance/accounts","51–100","41–50","3–5","8","7","8","6","6","Yes, but not actively looking","Lack of career growth","Not sure","1–3 years"
"2026/05/07 10:48:57 AM GMT+1","Male","Bachelor's degree","Less than 2 years","Legal/professional (lawyer, consultant, advisor)","21–50","41–50","1–2","8","7","10","7","7","No, I intend to stay","I am not considering leaving","Probably yes","Less than 1 year"
"2026/05/07 10:49:35 AM GMT+1","Male","Postgraduate diploma","6–10 years","IT/technology","51–100","41–50","3–5","7","7","7","7","5","Unsure","Compensation/salary","Probably yes","4–7 years"
"2026/05/07 10:50:26 AM GMT+1","Male","Bachelor's degree","6–10 years","Legal/professional (lawyer, consultant, advisor)","51–100","41–50","3–5","9","8","7","9","8","No, I intend to stay","I am not considering leaving","Probably yes","1–3 years"
"2026/05/07 10:51:19 AM GMT+1","Female","Bachelor's degree","6–10 years","Legal/professional (lawyer, consultant, advisor)","21–50","41–50","6–10","8","8","9","9","9","Yes, actively looking","Relationship with management","Probably yes","4–7 years"
"2026/05/07 10:52:16 AM GMT+1","Prefer not to say","Postgraduate diploma","6–10 years","Administrative/support staff","51–100","51–60","1–2","4","4","4","4","4","Yes, actively looking","Compensation/salary","Not sure","1–3 years"
"2026/05/07 10:54:26 AM GMT+1","Male","Professional certification only (e.g. BL, ACCA, ICAN)","11–15 years","Management/leadership","101–250","51–60","3–5","9","6","10","9","9","No, I intend to stay","I am not considering leaving","Definitely yes","4–7 years"
"2026/05/07 10:56:41 AM GMT+1","Female","Professional certification only (e.g. BL, ACCA, ICAN)","6–10 years","Finance/accounts","51–100","41–50","3–5","8","6","9","8","8","Unsure","Better opportunity elsewhere","Probably yes","4–7 years"
"2026/05/07 10:58:32 AM GMT+1","Prefer not to say","OND/HND","6–10 years","Other","1–20","41–50","1–2","5","5","5","5","5","Yes, but not actively looking","Compensation/salary","Not sure","1–3 years"
"2026/05/07 11:00:20 AM GMT+1","Male","Bachelor's degree","11–15 years","IT/technology","21–50","41–50","3–5","5","5","8","6","6","Unsure","Better opportunity elsewhere","Not sure","4–7 years"
"2026/05/07 11:04:01 AM GMT+1","Male","OND/HND","Less than 2 years","Other","1–20","41–50","None","5","5","5","8","5","Unsure","Compensation/salary","Not sure","Less than 1 year"
"2026/05/07 11:05:04 AM GMT+1","Male","Bachelor's degree","2–5 years","Administrative/support staff","1–20","35–40","None","7","7","7","9","8","Yes, but not actively looking","Lack of career growth","Probably yes","1–3 years"
"2026/05/07 11:07:48 AM GMT+1","Female","Postgraduate diploma","6–10 years","Administrative/support staff","21–50","51–60","None","7","7","9","8","8","Yes, but not actively looking","Compensation/salary","Not sure","1–3 years"
"2026/05/07 11:08:53 AM GMT+1","Male","Postgraduate diploma","11–15 years","Management/leadership","101–250","41–50","3–5","6","5","8","6","6","Unsure","Better opportunity elsewhere","Not sure","4–7 years"
"2026/05/07 11:10:36 AM GMT+1","Female","PhD","11–15 years","Other","101–250","41–50","3–5","7","6","9","8","8","No, I intend to stay","Better opportunity elsewhere","Probably yes","4–7 years"
"2026/05/07 11:11:14 AM GMT+1","Male","Master's degree","6–10 years","IT/technology","21–50","41–50","None","6","7","8","8","3","Yes, but not actively looking","Compensation/salary","Probably yes","4–7 years"
"2026/05/07 11:12:25 AM GMT+1","Male","Master's degree","More than 15 years","Management/leadership","101–250","51–60","3–5","8","7","9","10","9","No, I intend to stay","I am not considering leaving","Definitely yes","4–7 years"
